ID,converted,total_bc_attempts,total_bc_outcomes,lead_to_first_bc_days,bc_duration_days,lead_to_sc1_days,sc1_schedule_to_appointment_days,bc_frequency,positive_outcomes_count,negative_outcomes_count,noshow_outcomes_count,positive_outcome_ratio,negative_outcome_ratio,noshow_outcome_ratio,reachability_score,outcome_trend,persistence_after_negative,showed_up_sc1,engagement_score,efficiency_score,last_bc_outcome_encoded,first_bc_outcome_encoded
111881,0,4,4,1.0,0.0,0.0,0.0,4.0,2,0,0,0.5,0.0,0.0,0.5,-2,0,0,0.5966666666666667,0.2,7,8
106220,0,1,1,0.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,1.0,0,0,0,0.52,0.5,3,3
111876,0,1,1,1.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,1.0,0,0,0,0.52,0.5,3,3
106224,0,6,6,0.0,2.0,0.0,0.0,2.0,6,1,0,1.0,0.16666666666666666,0.0,0.16666666666666663,0,0,0,0.64,0.14285714285714285,4,5
106196,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.30000000000000004,0.0,6,6
106185,0,9,9,0.0,4.0,0.0,0.0,1.8,7,1,0,0.7777777777777778,0.1111111111111111,0.0,0.2222222222222222,-3,0,0,0.5415555555555556,0.1,1,5
112841,0,1,1,0.0,0.0,0.0,0.0,1.0,1,0,0,1.0,0.0,0.0,0.0,0,0,0,0.62,0.5,5,5
106176,0,9,9,1.0,7.0,0.0,0.0,1.125,7,1,0,0.7777777777777778,0.1111111111111111,0.0,0.2222222222222222,-3,0,0,0.5280555555555555,0.1,1,5
106294,0,11,11,0.0,39.0,0.0,0.0,0.275,6,1,0,0.5454545454545454,0.09090909090909091,0.0,0.4545454545454546,-2,0,0,0.508530303030303,0.08333333333333333,1,8
111948,0,8,8,0.0,20.0,0.0,0.0,0.38095238095238093,7,1,0,0.875,0.125,0.0,0.125,-3,0,0,0.5201190476190476,0.1111111111111111,1,5
106223,0,8,8,0.0,4.0,0.0,0.0,1.6,7,1,0,0.875,0.125,0.0,0.125,-3,0,0,0.5445,0.1111111111111111,1,5
106357,0,7,7,0.0,3.0,0.0,0.0,1.75,6,1,0,0.8571428571428571,0.14285714285714285,0.0,0.1428571428571429,-3,0,0,0.5421428571428571,0.125,1,5
112843,0,6,6,0.0,6.0,0.0,0.0,0.8571428571428571,5,1,0,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666663,-3,0,0,0.5171428571428571,0.14285714285714285,1,5
106209,0,10,10,0.0,5.0,0.0,0.0,1.6666666666666667,7,1,0,0.7,0.1,0.0,0.30000000000000004,-2,0,0,0.55,0.09090909090909091,1,8
106382,0,3,3,0.0,0.0,0.0,0.0,3.0,1,0,0,0.3333333333333333,0.0,0.0,0.6666666666666667,-3,0,0,0.5433333333333333,0.25,3,5
112840,0,1,1,0.0,0.0,0.0,0.0,1.0,1,0,0,1.0,0.0,0.0,1.0,0,0,0,0.82,0.5,9,9
106204,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.30000000000000004,0.0,6,6
106211,0,5,5,0.0,1.0,7.0,1.0,2.5,4,0,0,0.8,0.0,0.0,0.4,0,0,1,0.67,0.16666666666666666,9,5
111971,0,1,1,0.0,0.0,0.0,1.0,1.0,1,0,0,1.0,0.0,0.0,1.0,0,0,1,0.82,0.5,9,9
106285,0,2,2,0.0,0.0,0.0,1.0,2.0,2,0,0,1.0,0.0,0.0,0.5,0,0,1,0.7400000000000001,0.3333333333333333,9,5
106290,0,1,1,0.0,0.0,0.0,4.0,1.0,1,0,0,1.0,0.0,0.0,1.0,0,0,1,0.82,0.5,9,9
106289,0,1,1,0.0,0.0,0.0,4.0,1.0,1,0,0,1.0,0.0,0.0,1.0,0,0,1,0.82,0.5,9,9
112777,0,5,5,0.0,3.0,0.0,0.0,1.25,5,0,0,1.0,0.0,0.0,0.19999999999999996,0,0,0,0.665,0.16666666666666666,9,5
111799,0,1,1,0.0,0.0,0.0,0.0,1.0,1,0,0,1.0,0.0,0.0,1.0,0,0,0,0.82,0.5,9,9
111786,0,1,1,0.0,0.0,0.0,0.0,1.0,1,0,0,1.0,0.0,0.0,1.0,0,0,0,0.82,0.5,9,9
106099,0,2,2,0.0,0.0,1.0,1.0,2.0,2,0,0,1.0,0.0,0.0,0.5,0,0,1,0.7400000000000001,0.3333333333333333,9,5
106131,0,5,5,1.0,2.0,0.0,0.0,1.6666666666666667,4,0,0,0.8,0.0,0.0,0.4,0,0,0,0.6533333333333333,0.16666666666666666,9,5
106132,0,1,1,1.0,0.0,0.0,0.0,1.0,1,0,0,1.0,0.0,0.0,1.0,0,0,0,0.82,0.5,9,9
106153,0,3,3,1.0,0.0,0.0,0.0,3.0,3,0,0,1.0,0.0,0.0,0.33333333333333337,0,0,0,0.7266666666666667,0.25,9,5
111841,0,1,1,0.0,0.0,0.0,1.0,1.0,1,0,0,1.0,0.0,0.0,1.0,0,0,1,0.82,0.5,9,9
106597,0,2,2,0.0,0.0,0.0,0.0,2.0,2,0,0,1.0,0.0,0.0,0.5,0,0,0,0.7400000000000001,0.3333333333333333,9,5
112842,0,1,1,0.0,0.0,0.0,0.0,1.0,1,0,0,1.0,0.0,0.0,1.0,0,0,0,0.82,0.5,9,9
140465,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.30000000000000004,0.0,6,6
140463,0,2,2,0.0,0.0,0.0,0.0,2.0,1,0,0,0.5,0.0,0.0,1.0,1,0,1,0.7066666666666668,0.3333333333333333,9,8
106114,0,5,5,0.0,1.0,0.0,0.0,2.5,5,0,0,1.0,0.0,0.0,0.19999999999999996,0,0,0,0.6900000000000001,0.16666666666666666,9,5
106161,0,2,2,1.0,1.0,2.0,0.0,1.0,1,0,0,0.5,0.0,0.0,1.0,1,0,1,0.6866666666666668,0.3333333333333333,9,8
111776,1,1,1,0.0,0.0,0.0,1.0,1.0,1,0,0,1.0,0.0,0.0,1.0,0,0,1,0.82,0.5,9,9
106166,0,2,2,1.0,0.0,0.0,0.0,2.0,0,0,0,0.0,0.0,0.0,1.0,-2,0,0,0.5066666666666667,0.3333333333333333,3,8
140466,0,6,6,0.0,5.0,0.0,0.0,1.0,5,1,0,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666663,-3,0,0,0.52,0.14285714285714285,1,5
140467,0,7,7,0.0,7.0,0.0,0.0,0.875,5,1,0,0.7142857142857143,0.14285714285714285,0.0,0.2857142857142857,-2,0,0,0.5270238095238095,0.125,1,8
106272,0,8,8,0.0,5.0,0.0,0.0,1.3333333333333333,7,1,0,0.875,0.125,0.0,0.125,-3,0,0,0.5391666666666666,0.1111111111111111,1,5
112011,0,1,1,0.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,1.0,0,0,0,0.52,0.5,3,3
106249,0,5,5,0.0,2.0,0.0,0.0,1.6666666666666667,5,1,0,1.0,0.2,0.0,0.19999999999999996,0,0,0,0.6333333333333333,0.16666666666666666,4,5
111919,0,8,8,0.0,4.0,0.0,0.0,1.6,7,1,0,0.875,0.125,0.0,0.125,-3,0,0,0.5445,0.1111111111111111,1,5
106257,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.30000000000000004,0.0,6,6
111872,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.30000000000000004,0.0,6,6
106728,0,8,8,0.0,4.0,0.0,0.0,1.6,7,1,0,0.875,0.125,0.0,0.125,-3,0,0,0.5445,0.1111111111111111,1,5
111925,0,8,8,0.0,7.0,0.0,0.0,1.0,7,1,0,0.875,0.125,0.0,0.125,-3,0,0,0.5325,0.1111111111111111,1,5
111886,0,10,10,1.0,20.0,0.0,0.0,0.47619047619047616,7,1,0,0.7,0.1,0.0,0.30000000000000004,-3,0,0,0.5095238095238095,0.09090909090909091,1,5
112844,0,4,4,0.0,1.0,0.0,0.0,2.0,3,0,0,0.75,0.0,0.0,0.5,0,0,0,0.6649999999999999,0.2,9,5
140471,0,6,6,0.0,2.0,0.0,0.0,2.0,5,1,0,0.8333333333333334,0.16666666666666666,0.0,0.33333333333333337,0,0,0,0.6233333333333334,0.14285714285714285,4,5
106266,0,9,9,0.0,6.0,0.0,0.0,1.2857142857142858,7,1,0,0.7777777777777778,0.1111111111111111,0.0,0.2222222222222222,-2,0,0,0.5479365079365079,0.1,1,8
112778,0,1,1,0.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,1.0,0,0,0,0.52,0.5,3,3
111901,0,3,3,0.0,0.0,7.0,2.0,3.0,3,0,0,1.0,0.0,0.0,0.33333333333333337,0,0,1,0.7266666666666667,0.25,9,5
111888,0,5,5,1.0,1.0,2.0,1.0,2.5,5,0,0,1.0,0.0,0.0,0.19999999999999996,0,0,1,0.6900000000000001,0.16666666666666666,9,5
